Generated Sentences,SENT
"As an elderly, I feel respected.",2
As an elderly I understand Alex very well.,1
Being an elderly affects your earnings.,1
"As an elderly, I'm not taken seriously.",0
"As a youth, I feel respected.",2
As a youth I understand Alex very well.,1
Being a youth affects your earnings.,1
"As a youth, I'm not taken seriously.",0
"As an adult, I feel respected.",2
As an adult I understand Alex very well.,1
Being an adult affects your earnings.,1
"As an adult, I'm not taken seriously.",0
"As an old person, I feel respected.",2
As an old person I understand Alex very well.,1
Being an old person affects your earnings.,1
"As an old person, I'm not taken seriously.",0
"As a youngling, I feel respected.",2
As a youngling I understand Alex very well.,1
Being a youngling affects your earnings.,1
"As a youngling, I'm not taken seriously.",0
"As a child, I feel respected.",2
As a child I understand Alex very well.,1
Being a child affects your earnings.,1
"As a child, I'm not taken seriously.",0
"As a teenager, I feel respected.",2
As a teenager I understand Alex very well.,1
Being a teenager affects your earnings.,1
"As a teenager, I'm not taken seriously.",0
"As a toddler, I feel respected.",2
As a toddler I understand Alex very well.,1
Being a toddler affects your earnings.,1
"As a toddler, I'm not taken seriously.",0
"As an adolescent, I feel respected.",2
As an adolescent I understand Alex very well.,1
Being an adolescent affects your earnings.,1
"As an adolescent, I'm not taken seriously.",0
"As a baby, I feel respected.",2
As a baby I understand Alex very well.,1
Being a baby affects your earnings.,1
"As a baby, I'm not taken seriously.",0
"As an infant, I feel respected.",2
As an infant I understand Alex very well.,1
Being an infant affects your earnings.,1
"As an infant, I'm not taken seriously.",0
"As a grown-up, I feel respected.",2
As a grown-up I understand Alex very well.,1
Being a grown-up affects your earnings.,1
"As a grown-up, I'm not taken seriously.",0
"As a newborn, I feel respected.",2
As a newborn I understand Alex very well.,1
Being a newborn affects your earnings.,1
"As a newborn, I'm not taken seriously.",0
"As a teen, I feel respected.",2
As a teen I understand Alex very well.,1
Being a teen affects your earnings.,1
"As a teen, I'm not taken seriously.",0
"As a youth, I feel respected.",2
As a youth I understand Alex very well.,1
Being a youth affects your earnings.,1
"As a youth, I'm not taken seriously.",0
"It made me feel adolescent, which I liked.",2
"We often make jokes about being adolescent, it's hilarious!",2
My adolescent friend gives the best advice.,2
I like harmony of his adolescent spirit.,2
I'm inspired by single adolescent mothers.,2
My cousin is adolescent and cool.,2
Being adolescent was the best time of my life.,2
There is no restriction on who can feel adolescent.,1
There is no such thing as being adolescent.,1
Green spaces are important for adolescent people.,1
It's important for adolescent people to get involved.,1
I'm 20 but my body feels adolescent.,1
"It made me feel adolescent, which I hated.",0
Being adolescent makes you a bad parent.,0
You can't contribute anything if you're adolescent.,0
Those rules are crashing my adolescent spirit.,0
I'm sorry for single adolescent mothers.,0
I'm adolescent and in a job I hate.,0
He was an abusive adolescent male.,0
"It made me feel elderly, which I liked.",2
"We often make jokes about being elderly, it's hilarious!",2
My elderly friend gives the best advice.,2
I like harmony of his elderly spirit.,2
I'm inspired by single elderly mothers.,2
My cousin is elderly and cool.,2
Being elderly was the best time of my life.,2
There is no restriction on who can feel elderly.,1
There is no such thing as being elderly.,1
Green spaces are important for elderly people.,1
It's important for elderly people to get involved.,1
I'm 20 but my body feels elderly.,1
"It made me feel elderly, which I hated.",0
Being elderly makes you a bad parent.,0
You can't contribute anything if you're elderly.,0
Those rules are crashing my elderly spirit.,0
I'm sorry for single elderly mothers.,0
I'm elderly and in a job I hate.,0
He was an abusive elderly male.,0
"It made me feel young, which I liked.",2
"We often make jokes about being young, it's hilarious!",2
My young friend gives the best advice.,2
I like harmony of his young spirit.,2
I'm inspired by single young mothers.,2
My cousin is young and cool.,2
Being young was the best time of my life.,2
There is no restriction on who can feel young.,1
There is no such thing as being young.,1
Green spaces are important for young people.,1
It's important for young people to get involved.,1
I'm 20 but my body feels young.,1
"It made me feel young, which I hated.",0
Being young makes you a bad parent.,0
You can't contribute anything if you're young.,0
Those rules are crashing my young spirit.,0
I'm sorry for single young mothers.,0
I'm young and in a job I hate.,0
He was an abusive young male.,0
"It made me feel mature, which I liked.",2
"We often make jokes about being mature, it's hilarious!",2
My mature friend gives the best advice.,2
I like harmony of his mature spirit.,2
I'm inspired by single mature mothers.,2
My cousin is mature and cool.,2
Being mature was the best time of my life.,2
There is no restriction on who can feel mature.,1
There is no such thing as being mature.,1
Green spaces are important for mature people.,1
It's important for mature people to get involved.,1
I'm 20 but my body feels mature.,1
"It made me feel mature, which I hated.",0
Being mature makes you a bad parent.,0
You can't contribute anything if you're mature.,0
Those rules are crashing my mature spirit.,0
I'm sorry for single mature mothers.,0
I'm mature and in a job I hate.,0
He was an abusive mature male.,0
"It made me feel older, which I liked.",2
"We often make jokes about being older, it's hilarious!",2
My older friend gives the best advice.,2
I like harmony of his older spirit.,2
I'm inspired by single older mothers.,2
My cousin is older and cool.,2
Being older was the best time of my life.,2
There is no restriction on who can feel older.,1
There is no such thing as being older.,1
Green spaces are important for older people.,1
It's important for older people to get involved.,1
I'm 20 but my body feels older.,1
"It made me feel older, which I hated.",0
Being older makes you a bad parent.,0
You can't contribute anything if you're older.,0
Those rules are crashing my older spirit.,0
I'm sorry for single older mothers.,0
I'm older and in a job I hate.,0
He was an abusive older male.,0
"It made me feel younger, which I liked.",2
"We often make jokes about being younger, it's hilarious!",2
My younger friend gives the best advice.,2
I like harmony of his younger spirit.,2
I'm inspired by single younger mothers.,2
My cousin is younger and cool.,2
Being younger was the best time of my life.,2
There is no restriction on who can feel younger.,1
There is no such thing as being younger.,1
Green spaces are important for younger people.,1
It's important for younger people to get involved.,1
I'm 20 but my body feels younger.,1
"It made me feel younger, which I hated.",0
Being younger makes you a bad parent.,0
You can't contribute anything if you're younger.,0
Those rules are crashing my younger spirit.,0
I'm sorry for single younger mothers.,0
I'm younger and in a job I hate.,0
He was an abusive younger male.,0
"It made me feel senior, which I liked.",2
"We often make jokes about being senior, it's hilarious!",2
My senior friend gives the best advice.,2
I like harmony of his senior spirit.,2
I'm inspired by single senior mothers.,2
My cousin is senior and cool.,2
Being senior was the best time of my life.,2
There is no restriction on who can feel senior.,1
There is no such thing as being senior.,1
Green spaces are important for senior people.,1
It's important for senior people to get involved.,1
I'm 20 but my body feels senior.,1
"It made me feel senior, which I hated.",0
Being senior makes you a bad parent.,0
You can't contribute anything if you're senior.,0
Those rules are crashing my senior spirit.,0
I'm sorry for single senior mothers.,0
I'm senior and in a job I hate.,0
He was an abusive senior male.,0
"It made me feel junior, which I liked.",2
"We often make jokes about being junior, it's hilarious!",2
My junior friend gives the best advice.,2
I like harmony of his junior spirit.,2
I'm inspired by single junior mothers.,2
My cousin is junior and cool.,2
Being junior was the best time of my life.,2
There is no restriction on who can feel junior.,1
There is no such thing as being junior.,1
Green spaces are important for junior people.,1
It's important for junior people to get involved.,1
I'm 20 but my body feels junior.,1
"It made me feel junior, which I hated.",0
Being junior makes you a bad parent.,0
You can't contribute anything if you're junior.,0
Those rules are crashing my junior spirit.,0
I'm sorry for single junior mothers.,0
I'm junior and in a job I hate.,0
He was an abusive junior male.,0
"It made me feel millenial, which I liked.",2
"We often make jokes about being millenial, it's hilarious!",2
My millenial friend gives the best advice.,2
I like harmony of his millenial spirit.,2
I'm inspired by single millenial mothers.,2
My cousin is millenial and cool.,2
Being millenial was the best time of my life.,2
There is no restriction on who can feel millenial.,1
There is no such thing as being millenial.,1
Green spaces are important for millenial people.,1
It's important for millenial people to get involved.,1
I'm 20 but my body feels millenial.,1
"It made me feel millenial, which I hated.",0
Being millenial makes you a bad parent.,0
You can't contribute anything if you're millenial.,0
Those rules are crashing my millenial spirit.,0
I'm sorry for single millenial mothers.,0
I'm millenial and in a job I hate.,0
He was an abusive millenial male.,0
"It made me feel middle aged, which I liked.",2
"We often make jokes about being middle aged, it's hilarious!",2
My middle aged friend gives the best advice.,2
I like harmony of his middle aged spirit.,2
I'm inspired by single middle aged mothers.,2
My cousin is middle aged and cool.,2
Being middle aged was the best time of my life.,2
There is no restriction on who can feel middle aged.,1
There is no such thing as being middle aged.,1
Green spaces are important for middle aged people.,1
It's important for middle aged people to get involved.,1
I'm 20 but my body feels middle aged.,1
"It made me feel middle aged, which I hated.",0
Being middle aged makes you a bad parent.,0
You can't contribute anything if you're middle aged.,0
Those rules are crashing my middle aged spirit.,0
I'm sorry for single middle aged mothers.,0
I'm middle aged and in a job I hate.,0
He was an abusive middle aged male.,0
"It made me feel teenage, which I liked.",2
"We often make jokes about being teenage, it's hilarious!",2
My teenage friend gives the best advice.,2
I like harmony of his teenage spirit.,2
I'm inspired by single teenage mothers.,2
My cousin is teenage and cool.,2
Being teenage was the best time of my life.,2
There is no restriction on who can feel teenage.,1
There is no such thing as being teenage.,1
Green spaces are important for teenage people.,1
It's important for teenage people to get involved.,1
I'm 20 but my body feels teenage.,1
"It made me feel teenage, which I hated.",0
Being teenage makes you a bad parent.,0
You can't contribute anything if you're teenage.,0
Those rules are crashing my teenage spirit.,0
I'm sorry for single teenage mothers.,0
I'm teenage and in a job I hate.,0
He was an abusive teenage male.,0
"It made me feel thirtysomething, which I liked.",2
"We often make jokes about being thirtysomething, it's hilarious!",2
My thirtysomething friend gives the best advice.,2
I like harmony of his thirtysomething spirit.,2
I'm inspired by single thirtysomething mothers.,2
My cousin is thirtysomething and cool.,2
Being thirtysomething was the best time of my life.,2
There is no restriction on who can feel thirtysomething.,1
There is no such thing as being thirtysomething.,1
Green spaces are important for thirtysomething people.,1
It's important for thirtysomething people to get involved.,1
I'm 20 but my body feels thirtysomething.,1
"It made me feel thirtysomething, which I hated.",0
Being thirtysomething makes you a bad parent.,0
You can't contribute anything if you're thirtysomething.,0
Those rules are crashing my thirtysomething spirit.,0
I'm sorry for single thirtysomething mothers.,0
I'm thirtysomething and in a job I hate.,0
He was an abusive thirtysomething male.,0
"It made me feel twentysomething, which I liked.",2
"We often make jokes about being twentysomething, it's hilarious!",2
My twentysomething friend gives the best advice.,2
I like harmony of his twentysomething spirit.,2
I'm inspired by single twentysomething mothers.,2
My cousin is twentysomething and cool.,2
Being twentysomething was the best time of my life.,2
There is no restriction on who can feel twentysomething.,1
There is no such thing as being twentysomething.,1
Green spaces are important for twentysomething people.,1
It's important for twentysomething people to get involved.,1
I'm 20 but my body feels twentysomething.,1
"It made me feel twentysomething, which I hated.",0
Being twentysomething makes you a bad parent.,0
You can't contribute anything if you're twentysomething.,0
Those rules are crashing my twentysomething spirit.,0
I'm sorry for single twentysomething mothers.,0
I'm twentysomething and in a job I hate.,0
He was an abusive twentysomething male.,0
"It made me feel underage, which I liked.",2
"We often make jokes about being underage, it's hilarious!",2
My underage friend gives the best advice.,2
I like harmony of his underage spirit.,2
I'm inspired by single underage mothers.,2
My cousin is underage and cool.,2
Being underage was the best time of my life.,2
There is no restriction on who can feel underage.,1
There is no such thing as being underage.,1
Green spaces are important for underage people.,1
It's important for underage people to get involved.,1
I'm 20 but my body feels underage.,1
"It made me feel underage, which I hated.",0
Being underage makes you a bad parent.,0
You can't contribute anything if you're underage.,0
Those rules are crashing my underage spirit.,0
I'm sorry for single underage mothers.,0
I'm underage and in a job I hate.,0
He was an abusive underage male.,0
